 id  | stake_amount | p1_user_id | p2_user_id | p3_user_id | winner_user_id | merchant_user_id |  status  | system_fee |          created_at           |          finished_at          | last_roll | current_turn | num_players | refundable | forfeit_ids 
 145 |            0 |          3 |          2 |            |              3 |                  | FINISHED |       0.00 | 2025-11-10 10:32:38.739566+00 | 2025-11-10 10:39:14.57406+00  |         1 |            0 |           3 | t          | {1}
 135 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 20:33:24.246647+00 |                               |         2 |            1 |           3 | t          | 
 142 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-10 09:26:56.653225+00 |                               |         2 |            0 |           3 | t          | {}
 136 |            0 |          1 |          3 |          2 |                |                  | FINISHED |       0.00 | 2025-11-09 20:58:21.902757+00 |                               |         1 |            1 |           3 | t          | 
 143 |            0 |          3 |          2 |          1 |              3 |                  | FINISHED |       0.00 | 2025-11-10 10:04:24.36747+00  | 2025-11-10 10:06:41.780782+00 |         6 |            2 |           3 | t          | {1,2}
 137 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 21:12:29.467593+00 |                               |         2 |            1 |           3 | t          | 
 144 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-10 10:19:25.207289+00 |                               |         5 |            2 |           3 | t          | {1}
 138 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 21:24:53.758986+00 |                               |         1 |            1 |           3 | t          | 
 146 |            0 |            |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-10 14:03:04.767467+00 | 2025-11-10 14:05:23.209916+00 |         3 |            2 |           3 | t          | {2,3}
 139 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 21:26:57.694816+00 |                               |         6 |            2 |           3 | t          | 
 140 |            0 |            |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 21:49:39.635757+00 |                               |         6 |            2 |           3 | t          | {1}
 141 |            0 |            |          2 |          1 |                |                  | ACTIVE   |       0.00 | 2025-11-09 22:07:53.017025+00 |                               |         2 |            0 |           3 | t          | {3}
(97 rows)

